DRAFT YEAR,PLAYER,DRAFTTEAM,AFFILIATION,COLLEGE,TEAM,ROUNDNUMBER,ROUNDPICK,OVERALLPICK,Rk,Pos,Age,G,FGPER,3PPER,2PPER,FT,FTA,FTPER,ORB,DRB,TRB,PF,PTS
2021,Joshua Primo,San Antonio Spurs,Alabama,Yes,SAS,1,12,12,460,SF,19,50,0.374,0.307,0.444,0.9,1.2,0.746,0.6,1.6,2.3,1.6,5.8
2021,JT Thor,Detroit Pistons,Auburn,Yes,CHO,2,7,37,539,PF,19,33,0.436,0.259,0.607,0.4,0.6,0.6,0.3,1,1.3,0.8,2
2021,Kai Jones,New York Knicks,Texas,Yes,CHO,1,19,19,296,C,21,21,0.643,0.5,0.667,0.1,0.4,0.375,0.1,0.4,0.5,0.4,1
2021,Keon Johnson,New York Knicks,Tennessee,Yes,"TOT, LAC, POR",1,21,21,287,SG,19,24.66666667,0.3476666667,0.3203333333,0.358,1.1,1.4,0.7996666667,0.6,1.466666667,2.1,1.833333333,6.8
2021,Kessler Edwards,Brooklyn Nets,Pepperdine,Yes,BRK,2,14,44,158,SF,21,48,0.412,0.353,0.473,0.3,0.4,0.842,0.9,2.7,3.6,1.8,5.9
2021,Luka Garza,Detroit Pistons,Iowa,Yes,DET,2,22,52,187,C,23,32,0.449,0.327,0.51,1.2,1.9,0.623,1.8,1.3,3.1,1.7,5.8
2021,Miles McBride,Oklahoma City Thunder,West Virginia,Yes,NYK,2,6,36,360,PG,21,40,0.296,0.25,0.375,0.2,0.3,0.667,0.1,1,1.1,1.1,2.2
2021,Moses Moody,Golden State Warriors,Arkansas,Yes,GSW,1,14,14,387,SG,19,52,0.437,0.364,0.548,0.5,0.7,0.778,0.3,1.2,1.5,0.8,4.4
2021,Neemias Queta,Sacramento Kings,Utah State,Yes,SAC,2,9,39,464,C,22,15,0.447,,0.447,0.7,1.1,0.647,0.9,1.1,2.1,1.2,3
2021,Quentin Grimes,LA Clippers,Houston,Yes,NYK,1,25,25,211,SG,21,46,0.404,0.381,0.5,0.3,0.4,0.684,0.5,1.5,2,1.6,6
2021,Sandro Mamukelashvili,Indiana Pacers,Seton Hall,Yes,MIL,2,24,54,345,PF,22,41,0.496,0.423,0.556,0.4,0.5,0.818,0.9,1.1,2,0.7,3.8
2021,Santi Aldama,Utah Jazz,Loyola-Maryland,Yes,MEM,1,30,30,4,PF,21,32,0.402,0.125,0.56,0.6,1,0.625,1,1.7,2.7,1.1,4.1
2021,Scottie Barnes,Toronto Raptors,Florida State,Yes,TOR,1,4,4,32,PF,20,74,0.492,0.301,0.543,2.1,2.9,0.735,2.6,4.9,7.5,2.6,15.3
2021,Scottie Lewis,Charlotte Hornets,Florida,Yes,CHO,2,26,56,331,SG,21,2,,,,0.5,1,0.5,0,0,0,0,0.5
2021,Sharife Cooper,Atlanta Hawks,Auburn,Yes,ATL,2,18,48,116,PG,20,13,0.214,0.167,0.25,0,0,,0,0.4,0.4,0.1,0.5
2021,Tre Mann,Oklahoma City Thunder,Florida,Yes,OKC,1,18,18,347,PG,20,60,0.393,0.36,0.421,1.1,1.4,0.793,0.4,2.4,2.9,1.7,10.4
2021,Trey Murphy III,Memphis Grizzlies,Virginia,Yes,NOP,1,17,17,399,SF,21,62,0.394,0.382,0.418,0.7,0.8,0.882,0.8,1.6,2.4,1,5.4
2021,Usman Garuba,Houston Rockets,Madrid (ESP),No,HOU,1,23,23,186,PF,19,24,0.432,0.25,0.583,0.2,0.3,0.714,0.9,2.6,3.5,1.2,2
2021,Ziaire Williams,New Orleans Pelicans,Stanford,Yes,MEM,1,10,10,590,SF,20,62,0.45,0.314,0.632,0.7,0.9,0.782,0.4,1.7,2.1,1.8,8.1
