DRAFT YEAR,PLAYER,TEAM DRAFTED BY,PRE-DRAFT AFFILIATION,TEAMS FOR 21-22 SEASON,"ROUND
NUMBER","ROUND
PICK","OVERALL
PICK",Rk,Pos,Age,G,GS,MP,FG,FGA,FGPER,3P,3PA,3PPER,2P,2PA,2PPER,eFGPER,FT,FTA,FTPER,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2021,Jaden Springer,Philadelphia 76ers,Tennessee,PHI,1,28,28,515,SG,19,2,0,3,0.5,0.5,1,0,0,,0.5,0.5,1,1,0,0,,0.5,0.5,1,0,0,1,0.5,0,1
2021,Jalen Green,Houston Rockets,Ignite (G League),HOU,1,2,2,205,SG,19,67,67,31.9,6.1,14.2,0.426,2.3,6.8,0.343,3.7,7.4,0.502,0.508,2.8,3.5,0.797,0.5,2.9,3.4,2.6,0.7,0.3,2,1.5,17.3
2021,Jalen Johnson,Atlanta Hawks,Duke,ATL,1,20,20,283,PF,20,22,0,5.5,1,1.9,0.537,0.1,0.6,0.231,0.9,1.3,0.679,0.573,0.2,0.3,0.714,0.1,1.1,1.2,0.1,0.1,0.1,0.4,0.4,2.4
2021,Jalen Suggs,Orlando Magic,Gonzaga,ORL,1,5,5,522,PG,20,48,45,27.2,4.1,11.4,0.361,0.9,4.1,0.214,3.3,7.3,0.443,0.4,2.6,3.4,0.773,0.5,3,3.6,4.4,1.2,0.4,3,3,11.8
2021,James Bouknight,Charlotte Hornets,Connecticut,CHO,1,11,11,62,SG,21,31,0,9.8,1.6,4.5,0.348,0.5,1.6,0.347,1,3,0.348,0.408,0.9,1,0.871,0.7,1,1.7,0.8,0.2,0,0.5,0.9,4.6
2021,Jared Butler,Sacramento Kings,Baylor,UTA,2,10,40,86,SG,21,42,1,8.6,1.5,3.6,0.404,0.7,2.1,0.318,0.8,1.5,0.524,0.497,0.3,0.4,0.688,0.1,1,1.1,1.5,0.4,0.2,0.8,1.1,3.8
2021,Jeremiah Robinson-Earl,New York Knicks,Villanova,OKC,2,2,32,479,C,21,49,36,22.2,2.7,6.6,0.414,1.2,3.4,0.352,1.6,3.2,0.478,0.503,0.8,1.1,0.741,1.5,4.1,5.6,1,0.6,0.3,0.8,1.5,7.5
2021,Jericho Sims,New York Knicks,Texas,NYK,2,28,58,506,PF,23,41,5,13.5,1,1.3,0.722,0,0,,1,1.3,0.722,0.722,0.3,0.7,0.414,1.5,2.6,4.1,0.5,0.3,0.5,0.5,1.6,2.2
2021,Joe Wieskamp,San Antonio Spurs,Iowa,SAS,2,11,41,580,SG,22,29,0,7.1,0.7,1.9,0.357,0.5,1.5,0.326,0.2,0.4,0.462,0.482,0.2,0.4,0.538,0.1,0.3,0.5,0.3,0.1,0.1,0.1,0.5,2.1
2021,Jonathan Kuminga,Golden State Warriors,Ignite (G League),GSW,1,7,7,318,SF,19,70,12,16.9,3.4,6.6,0.513,0.7,2.1,0.336,2.7,4.4,0.598,0.567,1.9,2.7,0.684,0.8,2.6,3.3,0.9,0.4,0.3,1.1,2.1,9.3
2021,Josh Christopher,Houston Rockets,Arizona State,HOU,1,24,24,104,SG,20,74,2,18,3,6.8,0.448,0.8,2.6,0.296,2.3,4.2,0.54,0.504,1.1,1.5,0.735,0.7,1.8,2.5,2,0.9,0.2,1.5,1.3,7.9
2021,Josh Giddey,Oklahoma City Thunder,NBA Global Academy (Australia),OKC,1,6,6,191,SF,19,54,54,31.5,5.2,12.4,0.419,1,3.9,0.263,4.2,8.5,0.492,0.461,1,1.5,0.709,1.8,6,7.8,6.4,0.9,0.4,3.2,1.6,12.5
2021,Joshua Primo,San Antonio Spurs,Alabama,SAS,1,12,12,460,SF,19,50,16,19.3,2,5.4,0.374,0.8,2.7,0.307,1.2,2.7,0.444,0.452,0.9,1.2,0.746,0.6,1.6,2.3,1.6,0.4,0.5,1.1,1.6,5.8
2021,JT Thor,Detroit Pistons,Auburn,CHO,2,7,37,539,PF,19,33,0,7.9,0.7,1.7,0.436,0.2,0.8,0.259,0.5,0.8,0.607,0.5,0.4,0.6,0.6,0.3,1,1.3,0.6,0.2,0.3,0.3,0.8,2
2021,Kai Jones,New York Knicks,Texas,CHO,1,19,19,296,C,21,21,0,3,0.4,0.7,0.643,0,0.1,0.5,0.4,0.6,0.667,0.679,0.1,0.4,0.375,0.1,0.4,0.5,0.2,0,0.1,0.3,0.4,1
2021,Keon Johnson,New York Knicks,Tennessee,"TOT, LAC, POR",1,21,21,287,SG,19,24.66666667,8,17.76666667,2.433333333,6.933333333,0.3476666667,0.8333333333,2.466666667,0.3203333333,1.6,4.433333333,0.358,0.402,1.1,1.4,0.7996666667,0.6,1.466666667,2.1,1.966666667,0.7666666667,0.3,1.166666667,1.833333333,6.8
