DRAFT YEAR,PLAYER,DRAFTEDBY,PREDRAFT,2122TEAM,ROUNDNUMBER,ROUNDPICK,OVERALLPICK,Rank,Position,Age,Games,GamesStarted,MPERG,FGPER,3PPER,2PPER,eFGPER,FTPER,TRB,AST,STL,BLK,TOV,PF,PTS
2021,Davion Mitchell,Sacramento Kings,Baylor,SAC,1,9,9,382,PG,23,75,19,27.7,0.418,0.316,0.48,0.477,0.659,2.2,4.2,0.7,0.3,1.5,1.9,11.5
2021,Day'Ron Sharpe,Phoenix Suns,North Carolina,BRK,1,29,29,500,PF,20,32,8,12.2,0.577,0.286,0.592,0.584,0.585,5,0.5,0.3,0.5,0.9,1.9,6.2
2021,Evan Mobley,Cleveland Cavaliers,Southern California,CLE,1,3,3,384,PF,20,69,69,33.8,0.508,0.25,0.541,0.522,0.663,8.3,2.5,0.8,1.7,1.9,2.1,15
2021,Franz Wagner,Orlando Magic,Michigan,ORL,1,8,8,559,SF,20,79,79,30.7,0.468,0.354,0.511,0.517,0.863,4.5,2.9,0.9,0.4,1.5,2.1,15.2
2021,Georgios Kalaitzakis,Indiana Pacers,BC Nevezis (Greece),"TOT, MIL, OKC",2,30,60,302,SF,23,8.666666667,2.666666667,21.06666667,0.460666667,0.416333333,0.49,0.539333333,0.462333333,1.933333333,1.3,1.133333333,0.2,1.966666667,1.733333333,8.633333333
2021,Greg Brown III,New Orleans Pelicans,Texas,POR,2,13,43,75,SF,20,48,6,13.3,0.426,0.311,0.481,0.476,0.677,2.8,0.7,0.5,0.5,0.8,1.9,4.7
2021,Herbert Jones,New Orleans Pelicans,Alabama,NOP,2,5,35,294,PF,23,78,69,29.9,0.476,0.337,0.533,0.525,0.84,3.8,2.1,1.7,0.8,1.3,3.1,9.5
2021,Isaiah Jackson,Los Angeles Lakers,Kentucky,IND,1,22,22,269,C,20,36,15,15,0.563,0.313,0.584,0.575,0.682,4.1,0.3,0.7,1.4,1.1,2.6,8.3
2021,Isaiah Livers,Detroit Pistons,Michigan,DET,2,12,42,334,SF,23,19,5,20.2,0.456,0.422,0.538,0.606,0.857,3,1.1,0.7,0.4,0.8,1.9,6.4
2021,Isaiah Todd,Milwaukee Bucks,Ignite (G League),WAS,2,1,31,543,PF,20,12,0,6.2,0.269,0.25,0.3,0.346,0.333,1,0.3,0.3,0.2,0.3,0.3,1.7
2021,Jaden Springer,Philadelphia 76ers,Tennessee,PHI,1,28,28,515,SG,19,2,0,3,1,,1,1,,1,0,0,1,0.5,0,1
2021,Jalen Green,Houston Rockets,Ignite (G League),HOU,1,2,2,205,SG,19,67,67,31.9,0.426,0.343,0.502,0.508,0.797,3.4,2.6,0.7,0.3,2,1.5,17.3
2021,Jalen Johnson,Atlanta Hawks,Duke,ATL,1,20,20,283,PF,20,22,0,5.5,0.537,0.231,0.679,0.573,0.714,1.2,0.1,0.1,0.1,0.4,0.4,2.4
